evaluation_scope,topology,p,gamma,missingness_mode,missing_rate_target,alpha_schedule,n_graph_cells,n_graph_seeds,precision_mean,precision_lo95,precision_hi95,precision_halfwidth95,recall_mean,recall_lo95,recall_hi95,recall_halfwidth95,f1_mean,f1_lo95,f1_hi95,f1_halfwidth95,exact_recovery_mean,exact_recovery_lo95,exact_recovery_hi95,exact_recovery_halfwidth95,fp_mean,fp_lo95,fp_hi95,fp_halfwidth95,fn_mean,fn_lo95,fn_hi95,fn_halfwidth95,trace_ci_tests_mean,trace_ci_tests_lo95,trace_ci_tests_hi95,trace_ci_tests_halfwidth95,trace_ci_n_eff_min_mean,trace_ci_n_eff_min_lo95,trace_ci_n_eff_min_hi95,trace_ci_n_eff_min_halfwidth95,trace_ci_n_eff_median_mean,trace_ci_n_eff_median_lo95,trace_ci_n_eff_median_hi95,trace_ci_n_eff_median_halfwidth95,trace_ci_effective_fraction_mean_mean,trace_ci_effective_fraction_mean_lo95,trace_ci_effective_fraction_mean_hi95,trace_ci_effective_fraction_mean_halfwidth95,runtime_seconds_mean,runtime_seconds_lo95,runtime_seconds_hi95,runtime_seconds_halfwidth95,oracle_separator_coverage_fraction_mean,oracle_separator_coverage_fraction_lo95,oracle_separator_coverage_fraction_hi95,oracle_separator_coverage_fraction_halfwidth95,oracle_pc_dependent_partial_corr_q05_mean,oracle_pc_dependent_partial_corr_q05_lo95,oracle_pc_dependent_partial_corr_q05_hi95,oracle_pc_dependent_partial_corr_q05_halfwidth95
global_whole_skeleton,random_regular_d2,50,1.0,self_masking_gaussian_preserving,0.1,n_inverse_half,10,10,0.9901960784313726,0.9828034079647118,0.9975887488980334,0.007392670466660811,1.0,1.0,1.0,0.0,0.9950495049504952,0.9913165723386169,0.9987824375623734,0.003732932611878237,0.5,0.12297380620029918,0.8770261937997008,0.3770261937997008,0.5,0.12297380620029918,0.8770261937997008,0.3770261937997008,0.0,0.0,0.0,0.0,1807.4,1742.1657952675014,1872.6342047324988,65.23420473249871,1640.2,1630.6036649326186,1649.7963350673815,9.59633506738146,2014.5,2012.2567733554738,2016.7432266445262,2.243226644526203,0.7858011454188086,0.7842004499915194,0.7874018408460979,0.0016006954272892449,8.557509161100096,7.315476714476058,9.799541607724134,1.2420324466240378,1.0,1.0,1.0,0.0,,,,
global_whole_skeleton,random_regular_d2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,10,0.9980392156862745,0.993603613406278,1.002474817966271,0.004435602279996509,1.0,1.0,1.0,0.0,0.9990099009900989,0.9967701414229719,1.0012496605572259,0.0022397595671269643,0.9,0.6737842837201795,1.1262157162798205,0.2262157162798205,0.1,-0.12621571627982048,0.3262157162798205,0.22621571627982048,0.0,0.0,0.0,0.0,1771.8,1715.023510432632,1828.5764895673678,56.77648956736789,660.3,584.4196591546684,736.1803408453316,75.8803408453316,1214.35,1211.4784065338993,1217.2215934661006,2.8715934661006486,0.4465248051489773,0.44359885236888363,0.44945075792907097,0.0029259527800936658,8.20380639630007,7.437776467562623,8.969836325037518,0.7660299287374475,1.0,1.0,1.0,0.0,,,,
global_whole_skeleton,random_regular_d2,50,1.0,self_masking_gaussian_preserving,0.5,n_inverse_half,10,10,1.0,1.0,1.0,0.0,0.998,0.9934756856744036,1.0025243143255964,0.0045243143255964124,0.998989898989899,0.9967048917547493,1.0012749062250488,0.0022850072351497386,0.9,0.6737842837201795,1.1262157162798205,0.2262157162798205,0.0,0.0,0.0,0.0,0.1,-0.12621571627982048,0.3262157162798205,0.22621571627982048,1707.7,1656.2826389919223,1759.1173610080778,51.417361008077705,216.4,175.14265222396816,257.6573477760319,41.257347776031864,614.9,612.1304609420038,617.6695390579962,2.7695390579962123,0.21539655120372797,0.21288910682366402,0.21790399558379192,0.00250744438006395,7.628923478100205,6.352195426808118,8.905651529392292,1.2767280512920873,1.0,1.0,1.0,0.0,,,,
global_whole_skeleton,random_regular_d2,100,1.0,self_masking_gaussian_preserving,0.1,n_inverse_half,10,10,0.9852838453462708,0.9793816199900814,0.9911860707024601,0.005902225356189339,0.999,0.9967378428372018,1.0012621571627982,0.0022621571627982062,0.9920692091340229,0.9896164839164802,0.9945219343515656,0.002452725217542695,0.0,0.0,0.0,0.0,1.5,0.8920635295453704,2.1079364704546295,0.6079364704546295,0.1,-0.12621571627982048,0.3262157162798205,0.22621571627982048,6271.3,6198.431808968198,6344.168191031802,72.86819103180187,3270.2,3247.2743271156774,3293.1256728843223,22.925672884322466,4039.8,4037.0645456972024,4042.535454302798,2.7354543027977343,0.7934174984252621,0.7925149561966363,0.794320040653888,0.0009025422286258467,28.00190284869991,25.16230308294186,30.84150261445796,2.8395997657580487,1.0,1.0,1.0,0.0,,,,
global_whole_skeleton,random_regular_d2,100,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,10,0.998019801980198,0.9950334558906954,1.0010061480697006,0.0029863460895026006,0.999,0.9967378428372018,1.0012621571627982,0.0022621571627982062,0.998502462561564,0.9967775204808784,1.0002274046422497,0.001724942080685632,0.7,0.35444978558635615,1.0455502144136437,0.34555021441364375,0.2,-0.10162095503976065,0.5016209550397607,0.30162095503976066,0.1,-0.12621571627982048,0.3262157162798205,0.22621571627982048,6184.3,6139.940116398056,6228.659883601945,44.3598836019446,1368.3,1206.9648394630929,1529.635160536907,161.3351605369071,2438.45,2435.3389055876223,2441.5610944123773,3.111094412377497,0.46088861397888226,0.46007546968523677,0.46170175827252774,0.0008131442936454847,27.611902094600282,24.87712545125928,30.346678737941286,2.7347766433410037,1.0,1.0,1.0,0.0,,,,
global_whole_skeleton,random_regular_d2,100,1.0,self_masking_gaussian_preserving,0.5,n_inverse_half,10,10,1.0,1.0,1.0,0.0,0.999,0.9967378428372018,1.0012621571627982,0.0022621571627982062,0.9994974874371859,0.99836072504382,1.0006342498305518,0.0011367623933659088,0.9,0.6737842837201795,1.1262157162798205,0.2262157162798205,0.0,0.0,0.0,0.0,0.1,-0.12621571627982048,0.3262157162798205,0.22621571627982048,6101.8,6055.540499241666,6148.059500758334,46.25950075833407,438.1,347.29665581270297,528.9033441872971,90.80334418729706,1240.7,1236.737815244139,1244.662184755861,3.962184755861017,0.2265417580455102,0.22540436273800527,0.2276791533530151,0.0011373953075049237,24.78528847049993,21.99479523637286,27.575781704626998,2.7904932341270694,1.0,1.0,1.0,0.0,,,,
global_whole_skeleton,small_world_k2,50,1.0,self_masking_gaussian_preserving,0.1,n_inverse_half,10,10,0.9863499245852188,0.9769972978421191,0.9957025513283184,0.009352626743099668,1.0,1.0,1.0,0.0,0.9930887206367695,0.988337845222534,0.9978395960510049,0.004750875414235467,0.4,0.03059128221082008,0.76940871778918,0.36940871778917994,0.7,0.21717088806681628,1.1828291119331835,0.4828291119331836,0.0,0.0,0.0,0.0,1926.7,1853.9810001779233,1999.4189998220768,72.71899982207674,1622.6,1595.6513027783562,1649.5486972216436,26.94869722164367,2013.0,2010.0795676606597,2015.9204323393403,2.920432339340323,0.782583830952229,0.7804114883838786,0.7847561735205795,0.002172342568350416,9.487323735499922,8.53902066517128,10.435626805828564,0.9483030703286417,1.0,1.0,1.0,0.0,,,,
global_whole_skeleton,small_world_k2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,10,0.9980392156862745,0.993603613406278,1.002474817966271,0.004435602279996509,1.0,1.0,1.0,0.0,0.9990099009900989,0.9967701414229719,1.0012496605572259,0.0022397595671269643,0.9,0.6737842837201795,1.1262157162798205,0.2262157162798205,0.1,-0.12621571627982048,0.3262157162798205,0.22621571627982048,0.0,0.0,0.0,0.0,1882.6,1808.9331338133286,1956.2668661866712,73.66686618667131,581.0,545.4826116641731,616.5173883358269,35.51738833582692,1210.7,1206.610699443008,1214.7893005569922,4.089300556992157,0.4402207431276561,0.43654192366362476,0.4438995625916874,0.003678819464031313,8.713195369899903,7.811128762666304,9.615261977133503,0.9020666072335994,1.0,1.0,1.0,0.0,,,,
global_whole_skeleton,small_world_k2,50,1.0,self_masking_gaussian_preserving,0.5,n_inverse_half,10,10,0.9980392156862745,0.993603613406278,1.002474817966271,0.004435602279996509,0.9920000000000002,0.9819963646322448,1.0020036353677557,0.010003635367755448,0.9949488826433663,0.9898155319203339,1.0000822333663988,0.005133350723032448,0.6,0.2305912822108201,0.9694087177891799,0.36940871778917994,0.1,-0.12621571627982048,0.3262157162798205,0.22621571627982048,0.4,-0.10018176838777082,0.9001817683877709,0.5001817683877708,1791.9,1723.8533415738113,1859.9466584261888,68.04665842618874,152.6,118.09569647720494,187.10430352279505,34.504303522795055,612.8,609.7129865153557,615.8870134846442,3.087013484644217,0.21090032066243286,0.20785547778239893,0.2139451635424668,0.0030448428800339267,8.42148354520018,7.492895029758889,9.350072060641471,0.928588515441291,1.0,1.0,1.0,0.0,,,,
global_whole_skeleton,small_world_k2,100,1.0,self_masking_gaussian_preserving,0.1,n_inverse_half,10,10,0.9844629229178935,0.973662944269766,0.995262901566021,0.01079997864812754,1.0,1.0,1.0,0.0,0.9921178211921158,0.9865993733799255,0.997636269004306,0.005518447812190241,0.3,-0.045550214413643764,0.6455502144136438,0.34555021441364375,1.6,0.4714377255696687,2.7285622744303315,1.1285622744303314,0.0,0.0,0.0,0.0,6675.1,6478.200634046819,6871.999365953182,196.8993659531816,3155.4,3051.81823028631,3258.98176971369,103.58176971368994,4038.3,4035.135674162301,4041.4643258376996,3.16432583769938,0.7896437412650286,0.7878605405623614,0.7914269419676957,0.0017832007026671315,32.20815679610014,28.295828754429593,36.12048483777069,3.9123280416705484,1.0,1.0,1.0,0.0,,,,
